Name,Upper_bound,Lower_bound
thetaS.1,0.01,0.7
thetaS.2,0.01,0.7
thetaS.3,0.01,0.7
thetaS.4,0.01,0.7
thetaS.5,0.01,0.7
thetaS.6,0.01,0.7
thetaS.7,0.01,0.7
thetaS.8,0.01,0.7
thetaS.9,0.01,0.7
thetaS.10,0.01,0.7
thetaS.11,0.01,0.7
thetaS.12,0.01,0.7
thetaS.13,0.01,0.7
N_River.1,0.04,0.5
N_River.2,0.04,0.5
N_River.3,0.04,0.5
N_River.4,0.04,0.5
N_River.5,0.04,0.5
N_River.6,0.04,0.5
N_River.7,0.04,0.5
N_River.8,0.04,0.5
N_River.9,0.04,0.5
N_River.10,0.04,0.5
N_River.11,0.04,0.5
N_River.12,0.04,0.5
N_River.13,0.04,0.5
SoilThickness.1,2000,8950
SoilThickness.2,2000,8950
SoilThickness.3,2000,8950
SoilThickness.4,2000,8950
SoilThickness.5,2000,8950
SoilThickness.6,2000,8950
SoilThickness.7,2000,8950
SoilThickness.8,2000,8950
SoilThickness.9,2000,8950
SoilThickness.10,2000,8950
SoilThickness.11,2000,8950
SoilThickness.12,2000,8950
SoilThickness.13,2000,8950
KsatVer.1,500,10000
KsatVer.2,500,10000
KsatVer.3,500,10000
KsatVer.4,500,10000
KsatVer.5,500,10000
KsatVer.6,500,10000
KsatVer.7,500,10000
KsatVer.8,500,10000
KsatVer.9,500,10000
KsatVer.10,500,10000
KsatVer.11,500,10000
KsatVer.12,500,10000
KsatVer.13,500,10000
RootingDepth.1,100,5000
RootingDepth.2,100,5000
RootingDepth.3,100,5000
RootingDepth.4,100,5000
RootingDepth.5,100,5000
RootingDepth.6,100,5000
RootingDepth.7,100,5000
RootingDepth.8,100,5000
RootingDepth.9,100,5000
RootingDepth.10,100,5000
RootingDepth.11,100,5000
RootingDepth.12,100,5000
RootingDepth.13,100,5000
KsatHorFrac.1,800,1000
KsatHorFrac.2,800,1000
KsatHorFrac.3,800,1000
KsatHorFrac.4,800,1000
KsatHorFrac.5,800,1000
KsatHorFrac.6,800,1000
KsatHorFrac.7,800,1000
KsatHorFrac.8,800,1000
KsatHorFrac.9,800,1000
KsatHorFrac.10,800,1000
KsatHorFrac.11,800,1000
KsatHorFrac.12,800,1000
KsatHorFrac.13,800,1000
InfiltCapSoil.1,100,400
InfiltCapSoil.2,100,400
InfiltCapSoil.3,100,400
InfiltCapSoil.4,100,400
InfiltCapSoil.5,100,400
InfiltCapSoil.6,100,400
InfiltCapSoil.7,100,400
InfiltCapSoil.8,100,400
InfiltCapSoil.9,100,400
InfiltCapSoil.10,100,400
InfiltCapSoil.11,100,400
InfiltCapSoil.12,100,400


