Name,Value
thetaS.1,0.70
thetaS.2,0.17
thetaS.3,0.38
thetaS.4,0.70
thetaS.5,0.39
thetaS.6,0.70
thetaS.7,0.02
thetaS.8,0.48
thetaS.9,0.70
thetaS.10,0.70
thetaS.11,0.70
thetaS.12,0.70
thetaS.13,0.25
N_River.1,0.50
N_River.2,0.14
N_River.3,0.50
N_River.4,0.50
N_River.5,0.28
N_River.6,0.50
N_River.7,0.50
N_River.8,0.06
N_River.9,0.13
N_River.10,0.50
N_River.11,0.50
N_River.12,0.50
N_River.13,0.08
SoilThickness.1,8950.00
SoilThickness.2,8950.00
SoilThickness.3,8950.00
SoilThickness.4,8950.00
SoilThickness.5,8950.00
SoilThickness.6,8950.00
SoilThickness.7,8950.00
SoilThickness.8,8950.00
SoilThickness.9,8950.00
SoilThickness.10,8950.00
SoilThickness.11,8950.00
SoilThickness.12,8950.00
SoilThickness.13,8950.00
KsatVer.1,10000.00
KsatVer.2,10000.00
KsatVer.3,886.90
KsatVer.4,10000.00
KsatVer.5,5253.56
KsatVer.6,10000.00
KsatVer.7,10000.00
KsatVer.8,1177.01
KsatVer.9,10000.00
KsatVer.10,10000.00
KsatVer.11,10000.00
KsatVer.12,10000.00
KsatVer.13,3658.94
RootingDepth.1,2214.99
RootingDepth.2,5000.00
RootingDepth.3,5000.00
RootingDepth.4,5000.00
RootingDepth.5,5000.00
RootingDepth.6,5000.00
RootingDepth.7,5000.00
RootingDepth.8,5000.00
RootingDepth.9,5000.00
RootingDepth.10,5000.00
RootingDepth.11,5000.00
RootingDepth.12,5000.00
RootingDepth.13,5000.00
KsatHorFrac.1,1000.00
KsatHorFrac.2,1000.00
KsatHorFrac.3,1000.00
KsatHorFrac.4,1000.00
KsatHorFrac.5,1000.00
KsatHorFrac.6,1000.00
KsatHorFrac.7,1000.00
KsatHorFrac.8,1000.00
KsatHorFrac.9,842.95
KsatHorFrac.10,1000.00
KsatHorFrac.11,1000.00
KsatHorFrac.12,1000.00
KsatHorFrac.13,1000.00
InfiltCapSoil.1,400.00
InfiltCapSoil.2,400.00
InfiltCapSoil.3,400.00
InfiltCapSoil.4,400.00
InfiltCapSoil.5,131.44
InfiltCapSoil.6,400.00
InfiltCapSoil.7,400.00
InfiltCapSoil.8,322.16
InfiltCapSoil.9,400.00
InfiltCapSoil.10,185.11
InfiltCapSoil.11,400.00
InfiltCapSoil.12,400.00
